type;phone;title;dataId;rating;address;placeId;reviews;website;position;thumbnail;description;keyword.ll;keyword.keyword;gpsCoordinates.latitude;gpsCoordinates.longitude;serviceOptions.0;serviceOptions.1;serviceOptions.2;serviceOptions.3;serviceOptions.4;serviceOptions.5;serviceOptions.6
Insurance company;+43 3842 45165;Generali Leoben;0x4771de427fddb409:0xf81cfd3451476e4d;5;Zirkusstraße 29, 8700 Leoben, Austria;ChIJCbTdf0LecUcRTW5HUTT9HPg;2;https://www.generali.at/helpcenter/standorte/Leoben;4;https://lh5.googleusercontent.com/p/AF1QipMRiJe_RUF2Pfs7y8-3t80_njw7EYwQ3NwKUm8I=w163-h92-k-no;;@40.7455096,-74.0083012,14z;vienna insurance group (vig) in AT, Styria, Leoben;47.371445699999995;15.0884188;Wheelchair-accessible car park;;;;;;
Restaurant;+43 676 3905755;Porto Velo;0x477283a925b1c009:0x1c6d23a24429f3b2;4.2;Hollenburg 994/10, 3506 Krems an der Donau, Austria;ChIJCcCxJamDckcRsvMpRKIjbRw;530;http://www.portovelo.at/;21;https://lh5.googleusercontent.com/p/AF1QipPTrUuYiYAH-c3ReZ5l9RPUDUsYKtf_gQ3nHHOI=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Krems an der Donau;48.3815086;15.6869027;Outdoor seating;Kerbside pickup;Takeaway;Dine-in;Delivery;;
Home improvement store;+43 2732 77502;OBI Krems;0x4772839bbb33c509:0x9546295a72d953bb;4.1;Altweidlinger Str. 4, 3500 Krems an der Donau, Austria;ChIJCcUzu5uDckcRu1PZclopRpU;1295;https://www.obi.at/markt/krems;62;https://lh5.googleusercontent.com/p/AF1QipNe-G-eA8MVxjSXjjNdE3LlCJqdxvYBkHpeOfhx=w199-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Krems an der Donau;48.407205;15.6542757;In-store pick-up;In-store shopping;Delivery;Same-day delivery;;;
Insurance agency;+43 3842 43193;Grazer Wechselseitige Versicherung AG;0x4771de166e550b09:0x4f5fb9679b7649d6;4.6;Franz Josef-Straße 13, 8700 Leoben, Austria;ChIJCQtVbhbecUcR1kl2m2e5X08;14;https://www.grawe.at/;3;https://lh5.googleusercontent.com/p/AF1QipMFtpxGwoMKMQ-8KCnBypTosS6sZpOuXqgs2k5m=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vienna insurance group (vig) in AT, Styria, Leoben;47.3840705;15.092744399999999;;;;;;;
Insurance company;+43 50 3505 3300;Wiener Städtische Versicherung AG Vienna Insurance Group;0x476dcb9210453d71:0x2f1a8789d4ec3b14;3.9;Ferdinand-Porsche-Ring 2, 2700 Wiener Neustadt, Austria;ChIJcT1FEJLLbUcRFDvs1ImHGi8;14;https://www.wienerstaedtische.at/geschaeftsstellen.html;8;https://lh5.googleusercontent.com/p/AF1QipOApvZDHqRqgrXBx8yhKXRo_sW-swiwm05fHrji=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vienna insurance group in AT, Lower Austria, Traiskirchen;47.8132185;16.238130899999998;Wheelchair-accessible car park;Wheelchair-accessible entrance;;;;;
;;Hallein;0x477694fba1823a09:0x9a744eee8b4f7e80;;Austria;ChIJCTqCofuUdkcRgH5Pi-5OdJo;;http://www.hallein.gv.at/;1;https://lh5.googleusercontent.com/p/AF1QipOeAFM7Ifx3RcDNzfECMKUXH4HfxIReDNAly8xe=w140-h186-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Salzburg, Hallein;47.68248;13.10037;;;;;;;
Restaurant;+43 2243 26350;Gasthaus Rath Smetana;0x476d0ecd3a583c09:0x3b6ee0b9dcdd13f;4.4;Hauptstraße 51, 3400 Klosterneuburg, Austria;ChIJCTxYOs0ObUcRP9HNnQvutgM;225;http://www.gasthaus-rath-smetana.info/;21;https://lh5.googleusercontent.com/p/AF1QipO53-RqsOm5L24lb8ooBjqJOvxdRxwXbQR72ebp=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Klosterneuburg;48.284169299999995;16.2910011;Outdoor seating;Takeaway;Dine-in;Delivery;;;
Insurance company;+43 50 3505 2800;Wiener Städtische Versicherung AG Vienna Insurance Group;0x476daf0e97e04f71:0xfdee6efa310ce750;3.7;Klostergasse 14, 2340 Mödling, Austria;ChIJcU_glw6vbUcRUOcMMfpu7v0;11;https://www.wienerstaedtische.at/geschaeftsstellen.html;4;https://lh5.googleusercontent.com/p/AF1QipPUeb-trZYk-X8ZkP7lnyYtudgev-YVrT_z7y18=w80-h142-k-no;;@40.7455096,-74.0083012,14z;vienna insurance group in AT, Lower Austria, Baden;48.086402799999995;16.2861399;Wheelchair-accessible car park;Wheelchair-accessible entrance;;;;;
Hotel;+43 2732 82067;Hotel Krems Zum goldenen Engel Familie Ehrenreich;0x4772846701aa4571:0x8a01e45f5dee5bd6;4.6;Wiener Straße 41 Wiener Strasse, Wr. Str. 41, 3500 Krems an der Donau, Austria;ChIJcUWqAWeEckcR1lvuXV_kAYo;266;https://www.hotelehrenreich.at/;10;https://lh5.googleusercontent.com/p/AF1QipMjfhPjeAteHJ8z9IRVoIejw3v5WZqH8MLrUyOa=w140-h92-k-no;Relaxed lodging with dining & a pool. Warm rooms & suites in a 1600s property offering an outdoor pool, a garden & free breakfast.. . t;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Krems an der Donau;48.4134193;15.610493799999999;;;;;;;
Insurance company;+43 50 330 330;DONAU Versicherung AG Klagenfurt | Landesdirektion Kärnten;0x477073aac35cccfd:0xed8d0bbcbccc18c2;4.1;St. Veiter Ring 13, 9020 Klagenfurt am Wörthersee, Austria;ChIJ_cxcw6pzcEcRwhjMvLwLje0;16;http://www.donauversicherung.at/;3;https://lh5.googleusercontent.com/p/AF1QipNvHnYWkEfeE5BFU__eXIjXfV7k3QzS5lcXp3ZE=w138-h92-k-no;;@40.7455096,-74.0083012,14z;vienna insurance group in AT, Carinthia, Klagenfurt am Wörthersee;46.6280697;14.3056459;Wheelchair-accessible car park;Wheelchair-accessible entrance;;;;;
Opel dealer;+43 4352 2396;Eisner Auto Wolfsberg - Opel, Fiat, Suzuki Vertragspartner;0x477020e5ca198709:0x2fb82364273d4d75;4.6;Grazer Str. 24, 9400 Wolfsberg, Austria;ChIJCYcZyuUgcEcRdU09J2QjuC8;260;https://www.eisner.at/standort/Wolfsberg;12;https://lh5.googleusercontent.com/p/AF1QipNwlhJVaYi0uFoGHL2gr3aM0GvnZQYUesUCky-k=w163-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Carinthia, Wolfsberg;46.8476705;14.845032999999999;In-store shopping;Delivery;;;;;
Insurance company;+43 2732 838770;Niederösterreichische Versicherung AG - Kundenbüro Krems;0x41096d1f0b248309:0x12f9a0b12bcc5289;4.2;Ringstraße 12, 3500 Krems an der Donau, Austria;ChIJCYMkCx9tCUERiVLMK7Gg-RI;28;https://www.nv.at/kundenbuero-krems-donau;2;https://lh5.googleusercontent.com/p/AF1QipMGp_eM3vzFkoYF4U7ot6ZtSINE8TVIP-3FRoOw=w170-h92-k-no;;@40.7455096,-74.0083012,14z;vienna insurance group in AT, Lower Austria, Krems an der Donau;48.410489999999996;15.604849999999999;Wheelchair-accessible car park;Wheelchair-accessible entrance;;;;;
Greek restaurant;+43 2732 75615;Ja Mas - Der Grieche;0x477285bf463c9b09:0xcd322036d1588149;4.7;Schlüsselamtsgasse 6, 3500 Krems an der Donau, Austria;ChIJCZs8Rr-FckcRSYFY0TYgMs0;585;http://jamas.at/;52;https://lh5.googleusercontent.com/p/AF1QipNgKjvSz_QlKFgoxdqP7ZR6P8Sci-AD0pZNdP8W=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Krems an der Donau;48.4112996;15.5987949;Outdoor seating;Takeaway;Dine-in;;;;
Restaurant;+43 2243 36705;Weinschenke Hitzel;0x476d0f22621c360b:0xccfd571387b98190;4.6;Haseldorfergasse 13, 3400 Klosterneuburg, Austria;ChIJCzYcYiIPbUcRkIG5hxNX_cw;202;http://www.weinschenke-hitzel.at/;16;https://lh5.googleusercontent.com/p/AF1QipO-x6_N4rS1WrLhacU2UNCLQDtirLwww4sqxloP=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Klosterneuburg;48.2976609;16.3267438;Outdoor seating;Takeaway;Dine-in;Delivery;;;
Insurance company;+43 1 2117500;UNIQA Insurance Group AG;0x476d070a3913420f:0xbd48a0336a925007;1.6;;ChIJD0ITOQoHbUcRB1CSajOgSL0;5;https://www.uniqa.at/versicherung/nachhaltigkeit/uniqa-tower.html;8;https://lh5.googleusercontent.com/p/AF1QipMpX8Z7noGgxcmNS7SAu7f1XrcMWrasdzuLsS5z=w80-h92-k-no-pi-17.10611-ya310.80386-ro0-fo100;;@40.7455096,-74.0083012,14z;vienna insurance group in AT, Lower Austria, Schwechat;48.2007158;16.432959999999998;;;;;;;
Disco club;+43 4242 39890;V-Club Villach;0x477a7f80ad7e7977:0x5fff55224234d64;3.7;im V-Center, Bruno-Kreisky-Straße 33, 9500 Villach, Austria;ChIJd3l-rYB_ekcRZE0jJFL1_wU;794;https://v-villach.at/;1;https://lh5.googleusercontent.com/p/AF1QipNWu1XfUCswiCTtZsxr3cQ5j-ZTgt9hEwf-bDGs=w163-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Carinthia, Villach;46.603674999999996;13.8638868;Kerbside pickup;Dine-in;Delivery;Takeaway;;;
Toy store;+43 660 8322411;S-GAMES;0x476dcb90e7479b77:0x1a3edb887e72ffad;4.4;Grazer Str. 85, 2700 Wiener Neustadt, Austria;ChIJd5tH55DLbUcRrf9yfojbPho;171;http://www.s-games.at/;62;https://lh5.googleusercontent.com/p/AF1QipMQdD8AJt0F-PIYY39HsVYOLQ5J3pKSh3NIm6dS=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Wiener Neustadt;47.813125799999995;16.245731199999998;Delivery;In-store pick-up;Same-day delivery;;;;
Immigration detention centre;+43 2552 50527171;Bundesasylamt für Fremdenwesen und Asyl (Bfa), Erstaufnahmestelle Ost;0x476db1b91c3abd0f:0x21c69db28756eb6f;3.6;Otto Glöckel-Straße 24, 2514 Traiskirchen, Austria;ChIJD706HLmxbUcRb-tWh7KdxiE;50;undefined;4;https://lh5.googleusercontent.com/p/AF1QipPO-cta5L-EU9lHotc4GeDSzg_ZCvFZ136KTaBg=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Traiskirchen;48.0152849;16.2842838;Wheelchair-accessible car park;Wheelchair-accessible entrance;;;;;
Breakfast restaurant;+43 677 67701096;Café Grande;0x476daf04993ec777:0x1056499d79d191c3;4.4;Stefaniegasse 1, 2340 Mödling, Austria;ChIJd8c-mQSvbUcRw5HReZ1JVhA;332;http://www.cafe-grande.at/;20;https://lh5.googleusercontent.com/p/AF1QipMLzmu724yH8vqppE4cxq92G1-aDNSakoTXGx4S=w80-h106-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Mödling;48.0868603;16.299208399999998;Outdoor seating;Takeaway;Dine-in;Delivery;;;
Wine bar;+43 664 2710347;Heuriger Weingärtnerei Graf;0x47728674318fc075:0xec1723a9b158948e;4.6;Unterloiben 5, 3601 Dürnstein, Austria;ChIJdcCPMXSGckcRjpRYsakjF-w;129;http://www.graf-loiben.at/;74;https://lh5.googleusercontent.com/p/AF1QipNUNbdcPvJ9X4YAyXduhsKzTKg99FXWw3ozVyyT=w80-h106-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Krems an der Donau;48.386640799999995;15.541130899999999;Outdoor seating;Takeaway;Dine-in;;;;
Fraternal organization;;K.Ö.M.V. Nibelungia St. Pölten;0x477278a7c485d0fd:0xf6a1c9104ac16d10;4.5;Dr.-Karl-Renner-Promenade 35, 3100 St. Pölten, Austria;ChIJ_dCFxKd4ckcREG3BShDJofY;4;http://www.nibelungia.com/;5;https://lh5.googleusercontent.com/p/AF1QipOh3VuE4WKyq9mDDsldj39ba33EoCyvCZiv7U1P=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Sankt Pölten;48.2031754;15.6290216;;;;;;;
Museum;+43 2732 801567;Dominican Church;0x47728444a2c9d2fd:0xa636392a1d1ef549;4.5;Körnermarkt 14, 3500 Krems an der Donau, Austria;ChIJ_dLJokSEckcRSfUeHSo5NqY;133;undefined;57;https://lh5.googleusercontent.com/p/AF1QipOyctL2epHV-yudrzQbdD5NEcR0huKvOCrDzHXT=w125-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Krems an der Donau;48.411344799999995;15.597254;Wheelchair-accessible entrance;Wheelchair-accessible toilet;;;;;
;;Wiener Neustadt;0x476dd296c3e7d4fd:0x10a40da5a345f692;;Austria;ChIJ_dTnw5bSbUcRkvZFo6UNpBA;;undefined;5;https://lh5.googleusercontent.com/p/AF1QipPsyAYRFjwZscqnT67apkjrXzGnu016lj6oOm8A=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Wiener Neustadt;47.7967564;16.2081595;;;;;;;
Military residence;+43 50 2012 028904;Burg zu Wiener Neustadt;0x476dcb858ff15275:0x2cf73a2ec7328fd8;4.6;Burgpl. 1, 2700 Wiener Neustadt, Austria;ChIJdVLxj4XLbUcR2I8yxy469yw;78;undefined;6;https://lh5.googleusercontent.com/p/AF1QipNfEC5t5kx-ogyRkhCIn4X7rOWXRxcPZD4H3UAD=w138-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Wiener Neustadt;47.809815;16.2461323;Wheelchair-accessible car park;Wheelchair-accessible entrance;;;;;
Clothing store;+43 699 13541353;C&A;0x47702044f8795c0d:0x42c971d7387c79b3;4.2;Klagenfurter Str. 41, 9400 Wolfsberg, Austria;ChIJDVx5-EQgcEcRs3l8ONdxyUI;98;https://www.c-and-a.com/at/de/shop;7;https://lh5.googleusercontent.com/p/AF1QipMyYsSTuO-XtreSzkXpxzssBHmher6dMNdhES8Q=w106-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Carinthia, Wolfsberg;46.822116799999996;14.839101999999999;In-store pick-up;Delivery;Same-day delivery;;;;
Cultural center;+43 2622 373933;Kasematten Wiener Neustadt;0x476dcb8e6e12020f:0x1f38150025bd58a1;4.5;Bahngasse 27, 2700 Wiener Neustadt, Austria;ChIJDwISbo7LbUcRoVi9JQAVOB8;661;http://www.kasematten-wn.at/;25;https://lh5.googleusercontent.com/p/AF1QipPFk0PHAYIF8hNGxkB3aEzQvOdNw4OjqVsRl_vz=w151-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Wiener Neustadt;47.810632899999995;16.2384509;Wheelchair-accessible car park;Wheelchair-accessible entrance;Wheelchair-accessible toilet;;;;
;;Krems an der Donau;0x4772847971d70c0f:0x4cf33b04c4839f70;;Austria;ChIJDwzXcXmEckcRcJ-DxAQ780w;;undefined;27;https://lh5.googleusercontent.com/p/AF1QipPkcoBmhB8kOj8vKwGOVOiFNgwmkSIHPYBiLajM=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Krems an der Donau;48.4151169;15.6151813;;;;;;;
Insurance agency;;Donau Vienna Insurance Group;0x476d73f0963d7813:0xde6d676c0dba4207;;Staasdorfer Str. 10-14, 3430 Tulln an der Donau, Austria;ChIJE3g9lvBzbUcRB0K6DWxnbd4;;undefined;5;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fnc-R_QkMmus81TdNuhrVQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=334.04404&pitch=0&thumbfov=100;;@40.7455096,-74.0083012,14z;vienna insurance group in AT, Lower Austria, Traiskirchen;48.3231768;16.0584782;Wheelchair-accessible car park;;;;;;
Clothing store;0173 6883539;The G Innsbruck;0x479d6b6a227bb113:0x2d17320a3cbaf962;3.8;Kaufhaus Tyrol, Maria-Theresien-Straße 31, 6020 Innsbruck, Austria;ChIJE7F7ImprnUcRYvm6PAoyFy0;33;https://www.the-g.shop/;5;https://lh5.googleusercontent.com/p/AF1QipNSdVGJUB_RdL9xgCKbplBnfGCvc2SdPx-OQ-nW=w80-h147-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Tyrol, Innsbruck;47.265537699999996;11.3951725;Wheelchair-accessible car park;Wheelchair-accessible entrance;;;;;
Tattoo shop;+43 676 6409602;Rona's Tattoo und Piercing;0x476dcb902c46af11:0xc32b167b75e1fa88;4.6;Brodtischgasse 4, 2700 Wiener Neustadt, Austria;ChIJEa9GLJDLbUcRiPrhdXsWK8M;246;http://www.ronastattoo.at/;50;https://lh5.googleusercontent.com/p/AF1QipNM0TKi0RQ--dq5l36kISRBMGVtJKLQAP3gHFWw=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Wiener Neustadt;47.812715;16.2425233;Delivery;Same-day delivery;;;;;
Clothing store;;KiK Ternitz;0x476dd07dbe67d979:0x89d9ea20ce535547;4.1;Werkstraße 16, 2630 Ternitz, Austria;ChIJedlnvn3QbUcRR1VTziDq2Yk;126;http://www.kik.at/filialfinder/3174/Ternitz/Werkstraße;17;https://lh5.googleusercontent.com/p/AF1QipMz2cbcsU8UG6y0avFtCZgyEX2Xd_5R-61mZpTC=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Ternitz;47.7108352;16.0400092;In-store shopping;Delivery;Same-day delivery;;;;
School supply store;+43 2630 38541;Scherz-Kogelbauer GmbH;0x476dd078b969da79:0xb10d00511d25bf8e;4.9;Theodor-Körner-Platz 6, 2630 Ternitz, Austria;ChIJedppuXjQbUcRjr8lHVEADbE;35;https://www.scherz-kogelbauer.at/;13;https://lh5.googleusercontent.com/p/AF1QipMZqA5AJdl7GCooxKON6uyGO92t0GFncx_-R968=w163-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Ternitz;47.7162004;16.035561599999998;Kerbside pickup;Delivery;In-store pick-up;In-store shopping;;;
Insurance company;+43 50 3505 4500;Wiener Städtische Allg. Versicherung AG;0x477284429152e911:0x2af2148ad2c53e2d;3.7;Ringstraße 11, 3500 Krems an der Donau, Austria;ChIJEelSkUKEckcRLT7F0ooU8io;6;https://www.wienerstaedtische.at/geschaeftsstellen.html;1;https://lh5.googleusercontent.com/p/AF1QipNeWkbKtB0ACLuOMj9Y2skoj4zkn0Om10rTaf8i=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vienna insurance group (vig) in AT, Lower Austria, Krems an der Donau;48.409990199999996;15.604296699999999;;;;;;;
Book store;+43 5372 68326;TYROLIA BUCH · SPIELE KUFSTEIN;0x4776375a6df0e211:0x3c6ead5036dfb889;4.6;Kufstein Galerien, Feldgasse 1, 6330 Kufstein, Austria;ChIJEeLwbVo3dkcRibjfNlCtbjw;130;http://www.tyrolia.at/;6;https://lh5.googleusercontent.com/p/AF1QipPpUTfA5dXlAajHEyV7162UgjfWH2Pgmj8GjVY-=w80-h164-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Tyrol, Kufstein;47.5848617;12.169936499999999;In-store pick-up;Delivery;Same-day delivery;;;;
Home improvement store;+43 2732 818700;HORNBACH Krems;0x477283a269d21379:0x612418adddec595e;4.3;Gewerbeparkstraße 20, 3500 Krems an der Donau, Austria;ChIJeRPSaaKDckcRXlns3a0YJGE;2416;https://www.hornbach.at/mein-markt/baumarkt-hornbach-krems/;23;https://lh5.googleusercontent.com/p/AF1QipMpj1HnehUuTKisSib5it6PgLkiv1yehZXY6g0t=w80-h142-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Krems an der Donau;48.4063105;15.661413099999999;Delivery;In-store pick-up;;;;;
;;Amstetten;0x477248518d6c2e11:0x32d88861a28b7b3;;Austria;ChIJES5sjVFIckcRs7coGoaILQM;;http://www.amstetten.noe.gv.at/;3;https://lh5.googleusercontent.com/p/AF1QipMde-3UEDY3cTeyx_6X-xjllbhh5zDOnYlANIFL=w163-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Amstetten;48.12502;14.86934;;;;;;;
Wine bar;+43 2732 82743;Weingut und Heuriger Graf;0x47728420e2820613:0x71ccbee2bb0cc045;4.2;Mauternbach, 3512 Mautern an der Donau, Austria;ChIJEwaC4iCEckcRRcAMu-K-zHE;111;http://www.weingut-graf.at/;72;https://lh5.googleusercontent.com/p/AF1QipPypG81ruWCBP0gaIQX6QYDesJdwOKldfnYu1ly=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Krems an der Donau;48.383054699999995;15.558342199999998;Outdoor seating;Takeaway;Dine-in;Delivery;;;
;;Krems an der Donau;0x477284795c78087b:0x1b0ab74bcb8031c;;Austria;ChIJewh4XHmEckcRHAO4vHSrsAE;;http://www.krems.at/;19;https://lh5.googleusercontent.com/p/AF1QipP60tyZyLdCQvnK4ELfWKfFqy2Yg41fcesfe3_b=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Krems an der Donau;48.4112282;15.607094799999999;;;;;;;
Tour operator;+43 676 4046551;WE LOVE TIROL - Alpenüberquerungen, Wanderreisen und Bergtouren;0x479d6b5b209d1313:0x739524f839b078da;5;Franz-Fischer-Straße 49, 6020 Innsbruck, Austria;ChIJExOdIFtrnUcR2niwOfgklXM;4;http://welovetirol.at/;4;https://lh5.googleusercontent.com/p/AF1QipOAcdAu-09vpAtCU-ZO3pmoYey7KK3Y6d6KAdqA=w179-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Tyrol, Innsbruck;47.2581791;11.388674499999999;;;;;;;
School;+43 50 248 032;Altes Gymnasium Leoben;0x4771de419a0b8211:0xb3b34c866362b7ff;4;Moserhofstraße 5, 8700 Leoben, Austria;ChIJEYILmkHecUcR_7diY4ZMs7M;40;http://www.gym-leoben.net/;15;https://lh5.googleusercontent.com/p/AF1QipNWOuKK3ft4HPxgtwJnfrU9ZSJq2lyyCTQYo6Ks=w204-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Styria, Leoben;47.374524699999995;15.0922833;Wheelchair-accessible car park;Wheelchair-accessible entrance;Wheelchair-accessible seating;Wheelchair-accessible toilet;;;
Investment company;;xista science ventures;0x476d0c218b0b2513:0x75424e8fd9d5e5b7;5;Plöcking 1, 3400 Klosterneuburg, Austria;ChIJEyULiyEMbUcRt-XV2Y9OQnU;1;http://www.xista.vc/;11;https://lh5.googleusercontent.com/p/AF1QipPMp9to2qb2Eqbvw2PkafO4o-vpWdU3tslFMyyG=w137-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Klosterneuburg;48.308679999999995;16.2569744;Wheelchair-accessible car park;;;;;;
Cultural center;+43 2732 8932573;Archiv der Zeitgenossen (Escape Room);0x477285d095705f7f:0x9b5c636ab5e0dd13;5;Dr.-Karl-Dorrek-Straße 30, 3500 Krems an der Donau, Austria;ChIJf19wldCFckcRE93gtWpjXJs;1;https://www.archivderzeitgenossen.at/;39;;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Krems an der Donau;48.40848;15.5872756;;;;;;;
Clothing store;+43 4352 514820;Kastner & Öhler Wolfsberg;0x477020fba2ccc87d:0x778b08e8abbb69e9;4.5;Spanheimerstraße 14, 9400 Wolfsberg, Austria;ChIJfcjMovsgcEcR6Wm7q-gIi3c;154;https://www.kastner-oehler.at/standort/wolfsberg/;11;https://lh5.googleusercontent.com/p/AF1QipOIoLGaP1zXlJByxi26qzmtyImmDivUMWFBQqnB=w163-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Carinthia, Wolfsberg;46.841397099999995;14.8400982;In-store pick-up;;;;;;
Sporting goods store;+43 4352 514820;Gigasport Wolfsberg;0x477020fba2ccc87d:0x9fb8653d89621e9c;4.5;Spanheimerstraße 14, 9400 Wolfsberg, Austria;ChIJfcjMovsgcEcRnB5iiT1luJ8;66;https://www.gigasport.at/standort/wolfsberg/;4;https://lh5.googleusercontent.com/p/AF1QipNAYMKMr3Wf94YvV6sSE1_c5mzqWGdwesp0lyn3=w138-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Carinthia, Wolfsberg;46.841597799999995;14.839405699999999;Kerbside pickup;In-store pick-up;In-store shopping;;;;
Restaurant;+43 2243 87490;Der Waldhof;0x476d0c47272efa15:0x4742e15b9b3b5a9a;4.6;Hauptstraße 132, 3400 Klosterneuburg, Austria;ChIJFfouJ0cMbUcRmlo7m1vhQkc;796;https://www.der-waldhof.at/;22;https://lh5.googleusercontent.com/p/AF1QipN0pGwLw5qIq5rERYpaW7_2ai7cBFG121NcWuiv=w137-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Klosterneuburg;48.317535;16.237647499999998;Outdoor seating;Takeaway;Dine-in;Delivery;;;
Hotel;+43 2732 79479;PARKHOTEL Krems;0x477284416373f97f:0x33aab38701697ce;3.5;Edmund-Hofbauer-Straße 19, 3500 Krems an der Donau, Austria;ChIJf_lzY0GEckcRzpcWcDirOgM;344;http://www.parkhotel-krems.at/;54;https://lh3.googleusercontent.com/gps-proxy/ALd4DhG4GQ7Jbp4ax960xmIXpu-EAohMUS6g2VEOzBCVuAMxc18FmhAS0kMxdleujWvEDg2bTuSQZvm3zLME1lwRlY8xpMayVtecwLbrj6C9bKHOIIfWcoBVTHnEQDmYY945yoZBaaQpN5kv6NY0i3Xn40ltZYjn6hhvl5lIHnWEnyS7urCNHGWkTu0HeA=w122-h92-k-no;Modest lodging with free breakfast. Unassuming rooms with free Wi-Fi & breakfast, along with an art deco-style bar & a sauna.. . t;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Krems an der Donau;48.406911;15.5987577;;;;;;;
School;+43 1 8046364;Federal Institute for Deaf Education;0x476da7d30937017d:0xae04278f1a0f189c;4;Maygasse 25, 1130 Wien, Austria;ChIJfQE3CdOnbUcRnBgPGo8nBK4;9;http://www.big-kids.at/;36;https://lh5.googleusercontent.com/p/AF1QipMoBNPRi07FpCG2tra9ZQdcvsP9l6c8ncfU9ise=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Mödling;48.1638872;16.2853189;Wheelchair-accessible car park;Wheelchair-accessible entrance;;;;;
Restaurant;;McDonald's;0x47702044dd757215:0x86ffe2791738c60c;3.9;Klagenfurter Str. 39, 9400 Wolfsberg, Austria;ChIJFXJ13UQgcEcRDMY4F3ni_4Y;1253;http://www.mcdonalds-kaernten.at/;9;https://lh5.googleusercontent.com/p/AF1QipN0hrPXf4w2Nm8wlYxdvR4xK6kyfMjfhOnBY1WN=w122-h92-k-no;Iconic fast-food burger & fries chain. Classic, long-running fast-food chain known for its burgers & fries.. . t;@40.7455096,-74.0083012,14z;vig in AT, Carinthia, Wolfsberg;46.8237271;14.839747899999999;Outdoor seating;No-contact delivery;Delivery;Drive-through;Takeaway;Dine-in;
Insurance company;+43 50 3505 7300;Wiener Städtische Allg. Versicherung AG;0x477434fc46261317:0x7b7219757e0fd157;2.8;Ringstraße 47, 5280 Braunau am Inn, Austria;ChIJFxMmRvw0dEcRV9EPfnUZcns;9;https://www.wienerstaedtische.at/geschaeftsstellen.html;1;https://lh5.googleusercontent.com/p/AF1QipPJ-NkjVyNBF83r7e9IU_im3n7rqL4eFh8wYdgV=w132-h92-k-no;;@40.7455096,-74.0083012,14z;vienna insurance group in AT, Upper Austria, Braunau am Inn;48.2556225;13.0367581;Wheelchair-accessible car park;Wheelchair-accessible entrance;;;;;
