type;phone;title;dataId;rating;address;placeId;reviews;website;position;thumbnail;keyword.ll;keyword.keyword;gpsCoordinates.latitude;gpsCoordinates.longitude;serviceOptions.0;serviceOptions.1;serviceOptions.2
Insurance agency;+43 1 6041689;UNIQA GeneralAgentur Norbert Zant;0x476da923b39b7c6b:0x631ddd9258d75819;4.6;Carl-Appel-Straße 5/Top Lokal 1, 1100 Wien, Austria;ChIJa3ybsyOpbUcRGVjXWJLdHWM;23;https://www.uniqa-zant.at/;13;https://lh5.googleusercontent.com/p/AF1QipO2z7kMaYGZ0uHpfKSZZEpCC7y1JqCVOQ5lBE6m=w163-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Vienna, Vienna;48.1682756;16.3445748;Online appointments;On-site services;
Insurance agency;+43 7243 57505;UNIQA GeneralAgentur Mizeli & Partner & Kfz Zulassungsstelle;0x477393f901088e03:0x7a718de3c1d44f7f;4.6;Linzer Str. 44, 4614 Marchtrenk, Austria;ChIJA44IAfmTc0cRf0_UweONcXo;20;https://www.uniqa-mizeli.at/;5;https://lh5.googleusercontent.com/p/AF1QipNRS3iGWOEDZFa-a_xQyZEvfNZl3Z-5K8B_a1R_=w80-h106-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Upper Austria, Wels;48.1909871;14.1168125;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance agency;+43 7272 2650;UNIQA GeneralAgentur Versfox & Kfz Zulassungsstelle;0x47738fb4c974ef6b:0x1207fcad68530451;4.9;Hinzenbach 82, 4070 Hinzenbach, Austria;ChIJa-90ybSPc0cRUQRTaK38BxI;33;https://www.uniqa-versfox.at/;28;https://lh5.googleusercontent.com/p/AF1QipNLziPIvKZLeflbOI4VDWCDv5B1Y6DFzs1s6b_4=w150-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;48.3083418;14.004709499999999;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance agency;+43 7472 25530;UNIQA GeneralAgentur Peham OG & Kfz Zulassungsstelle;0x477249cba3d8b701:0x717cb18eb8460e87;4.7;Wienerstr. 73, 3300 Amstetten, Austria;ChIJAbfYo8tJckcRhw5GuI6xfHE;17;https://www.uniqa-peham.at/;2;https://lh5.googleusercontent.com/p/AF1QipNZToI7RR61bdQEXKz367ASAvmDI-jdwAaoXXxZ=w163-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Lower Austria, Amstetten;48.122925699999996;14.8833141;Wheelchair-accessible car park;;
Insurance agency;+43 664 2321035;UNIQA GeneralAgentur Perkonigg Markus KG;0x477075ee1a55f26b:0x4b1b83337950d8d8;5;Wr. G. 11, 9020 Klagenfurt am Wörthersee, Austria;ChIJa_JVGu51cEcR2NhQeTODG0s;1;https://www.uniqa-perkonigg.at/;10;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gP0QBPpCxcXOFb0kDlmptw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=299.9262&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Carinthia, Klagenfurt am Wörthersee;46.6262828;14.3080942;;;
Insurance agency;+43 512 574242;Uniqa Tirol;0x479d6c072e300001:0xf1a34d63ede56f38;;Rennweg 7, 6020 Innsbruck, Austria;ChIJAQAwLgdsnUcROG_l7WNNo_E;;undefined;9;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2qlJThkTZGJtaLOT9GCCKw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=322.06726&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Tyrol, Innsbruck;47.2762318;11.3983379;;;
Insurance agency;+43 1 211753583;ArtUNIQA;0x476d070a24b00001:0xee2efc3795e3636d;;Untere Donaustraße 21, 1020 Wien, Austria;ChIJAQCwJAoHbUcRbWPjlTf8Lu4;;http://www.artuniqa.at/home/Kontakt/index.php;35;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ncaMSVTRFcM3IuL4OyM3Jw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=239.23267&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa in AT, Vienna, Vienna;48.213361299999995;16.382748499999998;;;
Insurance agency;+43 6214 20300;UNIQA GeneralAgentur Henndorf;0x47769ff9dcad2b01:0x7d453f29616fa5e3;3.8;Hauptstraße 48, 5302 Henndorf am Wallersee, Austria;ChIJASut3PmfdkcR46VvYSk_RX0;19;https://www.uniqa-henndorf.at/;77;https://lh5.googleusercontent.com/p/AF1QipN27hamDigxqviRQ7eQQVTofrLCzQjahze5jefd=w80-h123-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;47.8983468;13.1880179;Wheelchair-accessible car park;;
Insurance agency;+43 7258 4275;UNIQA GeneralAgentur Biege Versicherung GmbH & Kfz Zulassungsstelle;0x4773c3220e7a3101:0xd419b342da681199;4.9;Ingenieur-Pesendorfer-Straße 6a, 4540 Bad Hall, Austria;ChIJATF6DiLDc0cRmRFo2kKzGdQ;61;https://www.uniqa-biege-versicherung.at/;27;https://lh5.googleusercontent.com/p/AF1QipOLEZ1GVepRxXbVmiQKIASYWFpyGA2SarzJEWw=w163-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;48.0337007;14.2124194;Online appointments;On-site services;
Insurance agency;+43 676 5953666;UNIQA Agentur Bludenz;0x2ef1762774077001:0x2599b0bcc71e62b8;;;ChIJAXAHdCd28S4RuGIex7ywmSU;;undefined;10;https://lh5.googleusercontent.com/p/AF1QipM5X6_pPZAt29Rq_Uhv42NccJSck1vb1b7y3AQM=w80-h106-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Vorarlberg, Dornbirn;47.218477799999995;9.883972799999999;;;
Insurance company;+43 7672 72892;UNIQA ServiceCenter & Kfz Zulassungsstelle Vöcklabruck;0x4774069640c71703:0x6dc82375f47f8a95;4.5;Ferdinand-Öttl-Straße 1, 4840 Vöcklabruck, Austria;ChIJAxfHQJYGdEcRlYp_9HUjyG0;22;https://servicecenter.uniqa.at/voecklabruck/en/our-location;33;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-f9YRDzAIyfeZy8RmtAilw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=87.70269&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;48.0057244;13.652439;Wheelchair-accessible car park;;
Insurance agency;;Uniqa Insurance Group Ag;0x4774069640c71703:0x8e8ba9486f442930;5;Ferdinand-Öttl-Straße 1, 4840 Vöcklabruck, Austria;ChIJAxfHQJYGdEcRMClEb0ipi44;1;undefined;35;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-f9YRDzAIyfeZy8RmtAilw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=87.70269&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;48.0057244;13.652439;Wheelchair-accessible car park;;
Insurance agency;+43 1 3693434;UNIQA GeneralAgentur Christian Pieler GmbH;0x476d061072e8f503:0x19902acbe2faa363;4.6;Auhofstraße 205, 1130 Wien, Austria;ChIJA_XochAGbUcRY6P64ssqkBk;37;https://www.uniqa-pieler.at/;34;https://lh5.googleusercontent.com/p/AF1QipNwZvNCVRFGEsCkaD8xbrlHq57UY2gEHL9xJq-m=w122-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Vienna, Vienna;48.1951569;16.2599597;Online appointments;On-site services;
Insurance agency;+43 4762 5730;UNIQA GeneralAgentur Preuml & Kassmannhuber KG;0x4770a3da7743256b:0x48a0f63385352edc;4.2;Villacher Str. 34, 9800 Spittal an der Drau, Austria;ChIJayVDd9qjcEcR3C41hTP2oEg;5;https://www.uniqa-preuml-kassmannhuber-kg.at/;3;https://lh5.googleusercontent.com/p/AF1QipNBTvy_nkerLeYNh4IY7sRxQAWmlcAM-OzoJyz4=w80-h106-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Carinthia, Spittal an der Drau;46.7921663;13.5065224;Wheelchair-accessible car park;;
Insurance agency;+43 2742 78088;Uniqa GeneralAgentur Meder Alex;0x4772788274009801:0xc01fee3b0dc4c65a;5;Hnilickastraße 8, 3100 St. Pölten, Austria;ChIJAZgAdIJ4ckcRWsbEDTvuH8A;1;https://www.uniqa-meder.at/;2;https://lh5.googleusercontent.com/p/AF1QipP-NvDTK0eaMjjWRzW5c_rw81eo2P-xkjGk3hGQ=w138-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Lower Austria, Sankt Pölten;48.1815254;15.6186688;Wheelchair-accessible car park;;
Insurance agency;+43 512 265757;Versicherungsagentur Moll & Hell GmbH;0x479d6f3562284e07:0x310d9e2ddadfb66c;5;An-der-Lan-Straße 33, 6020 Innsbruck, Austria;ChIJB04oYjVvnUcRbLbf2i2eDTE;4;undefined;19;https://lh5.googleusercontent.com/p/AF1QipPTNjaU8Uc1z87iflkFjlaLLgFt3CK88bx-wuuU=w80-h116-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Tyrol, Innsbruck;47.2725401;11.4415315;Wheelchair-accessible car park;;
Insurance agency;+43 664 8231753;UNIQA GeneralAgentur Horeth Richard & Kfz Zulassungsstelle;0x4773f94d8507bdf9:0xdb0e35f73791def1;5;Lambacher Str. 1, 4662 Laakirchen, Austria;ChIJ-b0HhU35c0cR8d6RN_c1Dts;7;https://www.uniqa.at/versicherung/cms/betreuer/visitenkarte.html;68;https://lh5.googleusercontent.com/p/AF1QipPIuDgii1gHJOwEX2bMgJRwvNEY9I_csmCgUWmd=w80-h113-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;47.9917436;13.7989774;Wheelchair-accessible car park;;
Insurance agency;+43 5522 31637;UNIQA GeneralAgentur Gebhart;0x479b3961d2f4496f:0xf19e6999ef7b589f;5;Reichsstraße 90, 6800 Feldkirch, Austria;ChIJb0n00mE5m0cRn1h775lpnvE;6;https://www.uniqa-gebhart.at/;3;https://lh5.googleusercontent.com/p/AF1QipPl8xcPRq9KssRQHhiL3MFa6obYc6fdQgJastZd=w108-h92-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Vorarlberg, Feldkirch;47.2520253;9.6135898;Wheelchair-accessible car park;;
Insurance agency;+43 664 3523598;UNIQA GeneralAgentur Christian Mayerhofer;0x47741f09704a6907:0x6f99bbb1c2521d8a;5;Rabenschwand 17b, 4894 Oberhofen am Irrsee, Austria;ChIJB2lKcAkfdEcRih1SwrG7mW8;17;http://www.va-mayerhofer.com/;64;https://lh5.googleusercontent.com/p/AF1QipMYeBVl2X8HkvffZCFonU3m206v4suH2tZeeO57=w122-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;47.950367899999996;13.300351299999999;Wheelchair-accessible car park;;
Insurance agency;+43 463 292200;UNIQA GeneralAgentur das Versicherungsatelier;0x477075c673fcbf07:0x4c64b70ce8980103;5;Carolinenstraße 2, 9073 Klagenfurt am Wörthersee, Austria;ChIJB7_8c8Z1cEcRAwGY6Ay3ZEw;2;https://www.uniqa-versicherungsatelier.at/;1;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tw7pCmGHmzUqcMayJtU-Iw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=3.8392003&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa in AT, Carinthia, Klagenfurt am Wörthersee;46.591619699999995;14.2731684;Wheelchair-accessible car park;;
Insurance agency;+43 316 415016;UNIQA GeneralAgentur P&P KG;0x476e357aa3daff6f:0x76e1d1c78e855af4;5;Annenstraße 36, 8020 Graz, Austria;ChIJb__ao3o1bkcR9FqFjsfR4XY;10;https://www.uniqa-pp.at/;6;https://lh5.googleusercontent.com/p/AF1QipMFW9Xj2ApnM6sTyeXzKQOiMK91cBZSubBQjT_E=w141-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Styria, Graz;47.071374299999995;15.4258507;Wheelchair-accessible car park;;
Insurance agency;+43 6232 36555;UNIQA GeneralAgentur Bernhard Bliem;0x4776a3feffbf216d:0x59652f1867027b3e;4.7;Thalgaustraße 2, 5310 Mondsee, Austria;ChIJbSG___6jdkcRPnsCZxgvZVk;6;http://www.uniqa-agentur-bliem.at/;74;https://lh5.googleusercontent.com/p/AF1QipOfHANR6ajjbU085ExwQYuTQTaOLJ_RBCMiqZHh=w180-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;47.8481217;13.3400685;Wheelchair-accessible car park;;
Insurance company;+43 7242 46234;UNIQA ServiceCenter & Kfz Zulassungsstelle Wels;0x4773f378815b6d6d:0xda0d255524645f3b;4.3;Salzburger Str. 68, 4600 Wels, Austria;ChIJbW1bgXjzc0cRO19kJFUlDdo;44;https://www.uniqa.at/;2;https://lh5.googleusercontent.com/p/AF1QipMDFOuRDAXhs4kJVEk4BpiiwymCENL_GbqvCqr1=w122-h92-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Upper Austria, Wels;48.1587913;14.013406799999998;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance agency;+43 2243 20455;UNIQA GeneralAgentur TRAT & Partner & Kfz Zulassungsstelle;0x476d0f17c40e4573:0x20ed77137a6254a;4.5;Wr. Str. 88, 3400 Klosterneuburg, Austria;ChIJc0UOxBcPbUcRSiWmN3HXDgI;62;https://www.uniqa-trat.at/;37;https://lh5.googleusercontent.com/p/AF1QipPYCRHb5nAvKA-f5mpKIZE5Y3QpR55Ghi4nFMl6=w122-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Vienna, Vienna;48.298607499999996;16.3332075;;;
Insurance agency;+43 463 55649;UNIQA GeneralAgentur Versicherungsbüro Schütz;0x477075306c60780b:0x86fff49350617baa;5;Villacher Str. 37, 9020 Klagenfurt am Wörthersee, Austria;ChIJC3hgbDB1cEcRqnthUJP0_4Y;2;https://www.uniqa-perkonigg.at/;9;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FcopVnyzyzNUXhPvyNaiZA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=175.49&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Carinthia, Klagenfurt am Wörthersee;46.6225696;14.2980006;Wheelchair-accessible car park;;
Insurance company;+43 7262 52429;UNIQA ServiceCenter & Kfz Zulassungsstelle Perg;0x4773b1b9384e8a0b:0xfa2dab18b3ecbf60;5;Naarner Str. 31, 4320 Perg, Austria;ChIJC4pOOLmxc0cRYL_ssxirLfo;6;https://servicecenter.uniqa.at/perg/de/;20;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BI6bctZjgxfZV_SCs2zBFw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=124.11941&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;48.24702;14.6304801;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance agency;+43 7582 62334;UNIQA GeneralAgentur Vers4you OG & Kfz Zulassungsstelle Kirchdorf/Krems;0x4773e1dc84b10f09:0xcca30bf0ca38b143;4.9;Schmideggstraße 5, 4560 Kirchdorf an der Krems, Austria;ChIJCQ-xhNzhc0cRQ7E4yvALo8w;16;https://www.uniqa-vers4you.at/;41;https://lh5.googleusercontent.com/p/AF1QipOcl6MvXP3rSjf59ZE9qxzYO3Kab_TfYwJFzeI_=w92-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;47.903348;14.124814599999999;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance agency;+43 662 424232;UNIQA GeneralAgentur VA Salzburg GmbH;0x477691ebd6b35171:0xfc12898552cee20b;4.6;Innsbrucker Bundesstraße 27, 5020 Salzburg, Austria;ChIJcVGz1uuRdkcRC-LOUoWJEvw;14;https://www.va-salzburg.at/;1;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hIfdwb-WebhFQN6tbZKiGw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=177.61174&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa in AT, Salzburg, Salzburg;47.8049921;13.0213395;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance agency;+43 699 10037560;UNIQA GeneralAgentur Majer Angela;0x476d07b58cd20c73:0x6f4f91cb0ad1d49f;4;Schulgasse 1/Top 2, 1180 Wien, Austria;ChIJcwzSjLUHbUcRn9TRCsuRT28;5;https://www.uniqa-majer.at/;24;https://lh5.googleusercontent.com/p/AF1QipM0Hc7rr4bavJsHBzbMqfpBKkT57PHyklPvDEAH=w122-h92-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Vienna, Vienna;48.224530699999995;16.3487012;;;
Insurance company;+43 2732 824370;UNIQA ServiceCenter & Kfz Zulassungsstelle Krems;0x477284447bc41373:0xefd97f9b5772a886;4.1;Schwedengasse 1b, 3500 Krems an der Donau, Austria;ChIJcxPEe0SEckcRhqhyV5t_2e8;15;https://servicecenter.uniqa.at/krems/de/;1;https://lh5.googleusercontent.com/p/AF1QipPZ1oLjVGoszgXEjk06REbneDl3mp5wUAMAF0vn=w122-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Lower Austria, Weinzierl bei Krems;48.4095029;15.597207599999999;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance agency;+43 662 66040011;UNIQA GeneralAgentur P & P Versicherungsagentur GmbH & Kfz Zulassungsstelle;0x47769bf81ce13073:0x21a16909baf24dbf;;Wiener Bundesstraße 18, 5300 Esch, Austria;ChIJczDhHPibdkcRv03yuglpoSE;;https://www.uniqa.at/;14;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OVI2s8DfVMjEQvfTOA0eXg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=127.31242&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa in AT, Salzburg, Salzburg;47.8321603;13.086609999999999;Wheelchair-accessible car park;;
Insurance company;+43 1 2117500;UNIQA Insurance Group AG;0x476d070a3913420f:0xbd48a0336a925007;1.6;;ChIJD0ITOQoHbUcRB1CSajOgSL0;5;https://www.uniqa.at/versicherung/nachhaltigkeit/uniqa-tower.html;2;https://lh5.googleusercontent.com/p/AF1QipMpX8Z7noGgxcmNS7SAu7f1XrcMWrasdzuLsS5z=w80-h92-k-no-pi-17.10611-ya310.80386-ro0-fo100;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Vienna, Vienna;48.2007158;16.432959999999998;;;
Insurance agency;+43 3862 55140;UNIQA GeneralAgentur Team Widhalm GmbH;0x476e1fce99f0910f:0xebbc7a388f6aca70;5;Landskrongasse 4/2, 8600 Bruck an der Mur, Austria;ChIJD5Hwmc4fbkcRcMpqjzh6vOs;7;http://www.uniqa-widhalm.at/;2;https://lh5.googleusercontent.com/p/AF1QipNnrQwuufiL8cDeMWG3hcmDT4ZeLfx0COfm4L-3=w122-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Styria, Kapfenberg;47.4138933;15.272408599999999;Online appointments;On-site services;
Insurance company;+43 4242 345020;UNIQA Kfz Zulassungsstelle Wiegele;0x477a7fa1d332a477:0x73dc3195b7cdcca3;;Handwerkstraße 20, 9500 Villach, Austria;ChIJd6Qy06F_ekcRo8zNt5Ux3HM;;https://www.uniqa.at/versicherung/startseite.html;5;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=akdWPsc19ogsC6DO-6wN4w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=177.55135&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Carinthia, Villach;46.595906299999996;13.8478114;Wheelchair-accessible car park;;
Insurance agency;+43 676 83122381;UNIQA GeneralAgentur Dr. Schmid Beratungs GmbH;0x477073e22790d277:0x9c05a8a2678c284f;;Mageregger Str. 63, 9020 Klagenfurt am Wörthersee, Austria;ChIJd9KQJ-JzcEcRTyiMZ6KoBZw;;undefined;11;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KBwOvNkLVKr2bYxdYVx-rw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=199.62692&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa in AT, Carinthia, Klagenfurt am Wörthersee;46.6509931;14.2985689;Wheelchair-accessible car park;;
Insurance agency;+43 676 5953666;UNIQA Agentur Feldkirch;0x479b393a43cfd40f:0x70713b59ac03e143;3;;ChIJD9TPQzo5m0cRQ-EDrFk7cXA;2;undefined;1;https://lh5.googleusercontent.com/p/AF1QipO6Vl7UlfxWfR3lmIAQukYFuJrJZ_BEGwxgeUtL=w80-h106-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Vorarlberg, Feldkirch;47.218477799999995;9.883972799999999;;;
Insurance agency;+43 7752 706570;UNIQA GeneralAgentur Wisata;0x47741517bedbb075:0xa906f3b5a7793fd5;5;Rainerstraße 15, 4910 Ried im Innkreis, Austria;ChIJdbDbvhcVdEcR1T95p7XzBqk;7;https://www.agentur-wisata.at/;45;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5xrlvqsbu_BeBIeM34DE2Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=181.42596&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;48.2078263;13.486232399999999;Wheelchair-accessible car park;;
Driver and vehicle licensing agency;+43 1 213335322;UNIQA Kfz Zulassungsstelle Laimgrubengasse;0x476d071bed00bb75:0x6c03ce48116a24ea;5;Laimgrubengasse 12A, 1060 Wien, Austria;ChIJdbsA7RsHbUcR6iRqEUjOA2w;36;https://www.uniqa.at/versicherung/kfz/kfz-zulassung-zulassungsstellen.html;32;https://lh5.googleusercontent.com/p/AF1QipNzHiKRD3ZSri0fXIo1TcYJ_wb0AxaKDESeQfLn=w92-h92-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Vienna, Vienna;48.1987854;16.360018999999998;Wheelchair-accessible entrance;;
Insurance agency;+43 5572 35008;UNIQA GeneralAgentur STS OG;0x479b6b4d8223a67b:0xd2538b2353e15992;4.8;Riedgasse 47, 6850 Dornbirn, Austria;ChIJe6Yjgk1rm0cRklnhUyOLU9I;4;https://www.sts-versicherung.at/;4;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KIS0fnksETSYEP4DuJGheQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=258.8756&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa in AT, Vorarlberg, Dornbirn;47.418118199999995;9.74246;Wheelchair-accessible car park;;
Insurance agency;+43 463 595999;UNIQA GeneralAgentur Herzele Kurt;0x477075ffc6ceb67b:0x248b92d4c0bbf8f7;;Karfreitstraße 17/1, 9020 Klagenfurt am Wörthersee, Austria;ChIJe7bOxv91cEcR9_i7wNSSiyQ;;https://www.uniqa-perkonigg.at/;11;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0EWCHRmpnKFPGBmNMKw5kA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=113.58468&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Carinthia, Klagenfurt am Wörthersee;46.620969699999996;14.3086337;Wheelchair-accessible car park;;
Insurance agency;+43 316 463000;UNIQA GeneralAgentur Hoffmann & Jandl GmbH & Kfz Zulassungsstelle;0x476e4b5a9c0df013:0x8d77eacf76eb166d;4.6;Breitenweg 4, 8042 Graz, Austria;ChIJE_ANnFpLbkcRbRbrds_qd40;29;https://www.versicherungen-hoffmann-jandl.at/;6;https://lh5.googleusercontent.com/p/AF1QipMPe54rEGUt-dtCMUdnFlA2Xegwmzx1N1aaAcLs=w80-h106-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Styria, Graz;47.0577085;15.475623899999999;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance agency;+43 463 292200;Uniqa;0x477074549710b311:0xafe73922f22ec891;4.7;Kindergartenstraße 33, 9073 Klagenfurt am Wörthersee, Austria;ChIJEbMQl1R0cEcRkcgu8iI5568;3;https://www.uniqa.at/;2;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gVX7sIVPKUBJj2EJxuBRGQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=354.85867&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa in AT, Carinthia, Klagenfurt am Wörthersee;46.594267599999995;14.269255;Wheelchair-accessible car park;;
Insurance agency;+43 7942 72077;UNIQA GeneralAgentur Koller Thomas;0x47730b8f2e6dcb11:0x84fa34de3c665a5a;;Hauptpl. 14, 4240 Freistadt, Austria;ChIJEcttLo8Lc0cRWlpmPN40-oQ;;https://www.uniqa-thomas-koller.at/;66;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=P7iobbcYgEHeRh7I2Z3LTQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=81.85271&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;48.5116272;14.505837099999999;Wheelchair-accessible car park;;
Insurance agency;+43 7723 42826;UNIQA GeneralAgentur Wenger & Partner KG;0x47743838aeaefa79:0x18d46962f5f35686;4.7;Bahnhofstraße 8, 4950 Altheim, Austria;ChIJefqurjg4dEcRhlbz9WJp1Bg;14;https://www.uniqa-wenger.at/;57;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DdT-78CO_2UUtE3NnZH2UQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=145.3567&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;48.2509411;13.233355099999999;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance company;+43 463 5832888;UNIQA Landesdirektion Kärnten | ServiceCenter & Kfz Zulassungsstelle;0x4770749d9c2d4311:0x54e77d5f3b69fe05;4.3;Heupl. 1, 9020 Innere Stadt, Austria;ChIJEUMtnJ10cEcRBf5pO19951Q;28;https://servicecenter.uniqa.at/klagenfurt/de/;4;https://lh5.googleusercontent.com/p/AF1QipN3xRZ5HIvU6U8PfaWvfWPfLu4Ssy8_nDC-_-kN=w122-h92-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Carinthia, Klagenfurt am Wörthersee;46.626357899999995;14.308086099999999;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance agency;+43 512 362800;UNIQA GeneralAgentur Pluspunkt OG & Kfz Zulassungsstelle;0x479d693876615d17:0xade57a392c0928d2;5;Langstraße 31, 6020 Innsbruck, Austria;ChIJF11hdjhpnUcR0igJLDl65a0;4;https://www.uniqa-pluspunkt.at/;7;https://lh5.googleusercontent.com/p/AF1QipM4ZlQdHhPxKJzSU9Lem8g6BnBVU-uPQV9WZ124=w230-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Tyrol, Innsbruck;47.264377499999995;11.414808599999999;Wheelchair-accessible car park;;
Insurance agency;+43 664 88915193;UNIQA GeneralAgentur AKKURA Service GmbH & Kfz Zulassungsstelle;0x477403f6855c7117:0xb2b702da07583396;3.9;Attersee Str. 16, 4860 Lenzing, Austria;ChIJF3FchfYDdEcRljNYB9oCt7I;11;https://www.uniqa-akkura.at/;54;https://lh5.googleusercontent.com/p/AF1QipN5mxvBRj23Rfjmq8cbdV7hONjLlK35dE3mvxtm=w122-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;47.9800733;13.611863399999999;Wheelchair-accessible car park;;
